scope,tier,rank,n_clicks,n_trials_in_tier,click_share
cohort_A,satisficer,0,3,18,0.1667
cohort_A,satisficer,1,0,18,0.0
cohort_A,satisficer,2,2,18,0.1111
cohort_A,satisficer,3,0,18,0.0
cohort_A,satisficer,4,4,18,0.2222
cohort_A,satisficer,5,2,18,0.1111
cohort_A,satisficer,6,2,18,0.1111
cohort_A,satisficer,7,2,18,0.1111
cohort_A,satisficer,8,0,18,0.0
cohort_A,satisficer,9,1,18,0.0556
cohort_A,mixed,0,15,38,0.3947
cohort_A,mixed,1,2,38,0.0526
cohort_A,mixed,2,3,38,0.0789
cohort_A,mixed,3,3,38,0.0789
cohort_A,mixed,4,3,38,0.0789
cohort_A,mixed,5,3,38,0.0789
cohort_A,mixed,6,3,38,0.0789
cohort_A,mixed,7,2,38,0.0526
cohort_A,mixed,8,1,38,0.0263
cohort_A,mixed,9,2,38,0.0526
cohort_A,optimizer,0,28,75,0.3733
cohort_A,optimizer,1,8,75,0.1067
cohort_A,optimizer,2,7,75,0.0933
cohort_A,optimizer,3,10,75,0.1333
cohort_A,optimizer,4,7,75,0.0933
cohort_A,optimizer,5,3,75,0.04
cohort_A,optimizer,6,4,75,0.0533
cohort_A,optimizer,7,4,75,0.0533
cohort_A,optimizer,8,2,75,0.0267
cohort_A,optimizer,9,1,75,0.0133
