participant,n_survey_fix,n_survey_on_ad,mean_ad_area_frac,n_ad_top_trials,p_ad_survey,ad_over_index
p037,155,71,0.285207930359581,31,0.45806451612903226,1.606072157781585
p043,180,89,0.28407366033581405,36,0.49444444444444446,1.7405501230207097
p046,170,88,0.2849704301841185,34,0.5176470588235295,1.8164939375958387
p026,155,81,0.29251124403254203,31,0.5225806451612903,1.7865318199636557
p019,190,104,0.27716013677133366,38,0.5473684210526316,1.9749175600394107
p041,124,68,0.3164475601825464,25,0.5483870967741935,1.7329477795873989
p047,150,85,0.2995960718723988,30,0.5666666666666667,1.891435568981746
p036,185,111,0.2976654234518318,37,0.6,2.0156859101812743
p031,160,99,0.30278412956833656,32,0.61875,2.0435351115731177
p008,140,87,0.30640833595172623,28,0.6214285714285714,2.028105957034001
p010,180,112,0.2793256611599352,36,0.6222222222222222,2.2275870381488247
p034,170,107,0.2927429236622489,34,0.6294117647058823,2.1500494592042263
p039,100,65,0.28698172246072146,20,0.65,2.2649526054362714
p023,195,129,0.2967018797918791,39,0.6615384615384615,2.229640277313026
p028,195,129,0.29308499893127093,39,0.6615384615384615,2.2571556509229382
p015,175,116,0.2912939602048694,35,0.6628571428571428,2.275560888358104
p025,190,126,0.29890967501402094,38,0.6631578947368421,2.2185895946852017
p030,175,118,0.3217176342352947,35,0.6742857142857143,2.0958929276241096
p012,205,140,0.2745132269671901,41,0.6829268292682927,2.4877738563392295
p020,110,76,0.28433156558597455,22,0.6909090909090909,2.429941570100411
p022,155,108,0.3112104424250736,31,0.6967741935483871,2.2389164968850332
p005,170,122,0.29906916359310143,34,0.7176470588235294,2.3996023200838055
p049,160,115,0.3206512870216155,32,0.71875,2.2415316235781964
p014,180,131,0.2930665780543263,36,0.7277777777777777,2.483318918893809
p045,195,143,0.29771794327707835,39,0.7333333333333333,2.463181510866609
p007,160,118,0.28615014315319875,32,0.7375,2.57731829826539
p033,170,127,0.30780718498463555,34,0.7470588235294118,2.4270350400257934
p048,185,139,0.30314749266690716,37,0.7513513513513513,2.4785009591912486
p038,200,153,0.30656554730225277,40,0.765,2.495388039301631
p035,145,112,0.2862627091713911,29,0.7724137931034483,2.6982689968220375
p042,160,124,0.29829074010450773,32,0.775,2.5981363006054923
p004,130,101,0.273061636441185,26,0.7769230769230769,2.845229696301257
p016,175,136,0.3041139536692312,35,0.7771428571428571,2.555433079496624
p024,160,128,0.28804917021830634,32,0.8,2.7773036089418244
p044,185,149,0.2959956571819371,37,0.8054054054054054,2.7210041291597524
p018,185,154,0.3041278379971536,37,0.8324324324324325,2.737113570117259
p040,155,132,0.29608537361589166,31,0.8516129032258064,2.8762410409728467
p017,160,137,0.29842282793782615,32,0.85625,2.8692510084328813
p021,145,126,0.323923541132076,29,0.8689655172413793,2.682625394265707
p027,205,181,0.307797188791257,41,0.8829268292682927,2.868534416235618
p050,175,156,0.28773283020190815,35,0.8914285714285715,3.0981121299333045
p006,145,130,0.29016991057050645,29,0.896551724137931,3.0897473910206963
p029,130,117,0.30220053215540144,26,0.9,2.978154914489662
p009,200,180,0.2875646665670679,40,0.9,3.129730821050282
p032,175,158,0.30758120374041187,35,0.9028571428571428,2.9353456319103417
p011,160,145,0.2722190194972045,32,0.90625,3.3291208001331682
p013,230,215,0.3238953641357645,46,0.9347826086956522,2.8860635631198086
