fix_index,cohort,n,median_px,mean_px,iqr_lo_px,iqr_hi_px
0,all,2767,274.6,319.1,168.5,419.2
1,all,2767,284.3,326.5,185.6,417.0
2,all,2767,345.8,381.0,229.5,494.3
3,all,2767,403.6,427.7,272.2,543.1
4,all,2767,427.0,442.9,276.5,566.2
5,all,2767,426.5,445.2,271.1,575.9
6,all,2765,407.3,435.7,263.5,567.4
7,all,2764,395.3,424.4,249.8,567.5
8,all,2762,391.3,419.5,242.8,558.8
9,all,2760,391.7,417.0,238.8,561.8
0,plain_top,1187,280.0,322.0,168.5,423.9
1,plain_top,1187,281.5,326.4,183.0,423.4
2,plain_top,1187,340.5,376.5,213.6,502.7
3,plain_top,1187,395.6,412.1,247.8,538.0
4,plain_top,1187,401.1,415.8,244.8,543.8
5,plain_top,1187,406.3,423.6,252.0,543.0
6,plain_top,1185,389.2,418.2,252.4,541.1
7,plain_top,1185,380.1,407.8,242.2,541.0
8,plain_top,1183,383.1,405.5,233.2,538.6
9,plain_top,1182,378.0,403.9,236.7,528.0
0,ad_top,1580,269.7,317.0,168.8,414.7
1,ad_top,1580,287.6,326.5,188.5,411.7
2,ad_top,1580,349.2,384.5,240.0,489.1
3,ad_top,1580,413.1,439.4,289.9,548.3
4,ad_top,1580,441.8,463.3,302.6,580.8
5,ad_top,1580,439.3,461.3,285.7,594.5
6,ad_top,1580,421.6,448.8,273.6,588.9
7,ad_top,1579,409.7,436.9,257.8,588.2
8,ad_top,1579,401.3,430.0,249.7,572.3
9,ad_top,1578,399.6,426.9,242.4,589.5
0,first_fix_in_ad,1093,223.8,282.9,131.9,384.0
1,first_fix_in_ad,1093,284.7,323.1,179.1,416.2
2,first_fix_in_ad,1093,358.1,390.7,238.8,508.7
3,first_fix_in_ad,1093,412.1,438.1,282.9,550.1
4,first_fix_in_ad,1093,436.1,457.0,301.0,580.1
5,first_fix_in_ad,1093,436.5,453.2,283.9,589.2
6,first_fix_in_ad,1093,421.2,443.0,271.6,590.5
7,first_fix_in_ad,1092,411.6,432.6,258.3,584.5
8,first_fix_in_ad,1092,402.9,426.5,246.2,574.4
9,first_fix_in_ad,1092,400.6,427.5,244.4,588.4
0,first_fix_in_organic,1619,298.1,343.5,194.1,436.5
1,first_fix_in_organic,1619,284.2,329.1,191.2,417.6
2,first_fix_in_organic,1619,338.0,375.5,225.8,488.2
3,first_fix_in_organic,1619,399.2,420.7,261.8,538.0
4,first_fix_in_organic,1619,419.7,433.3,262.7,558.7
5,first_fix_in_organic,1619,418.2,439.5,261.0,562.9
6,first_fix_in_organic,1617,399.5,430.1,257.4,552.0
7,first_fix_in_organic,1617,386.5,417.8,243.1,550.9
8,first_fix_in_organic,1615,384.3,414.0,238.0,545.8
9,first_fix_in_organic,1613,383.0,410.3,235.5,541.5
